,shop_name,language,year,brand,modell,condition,category_shop,stock_status,stock_text,stock_sizes,url-detail,price,rrp
279,buycycle,de,2018,Bianchi,Methanol SL 27.5 | Other SRAM,new,Crosscountry,1,,M,https://buycycle.com/de/bike/methanol-sl-275,2000 ,4500
280,buycycle,de,2022,Specialized,Rockhopper Expert 29 | SRAM SX Eagle,new,Crosscountry,1,,M,https://buycycle.com/de/bike/rockhopper-expert-29-22,1350 ,1400
281,buycycle,de,2022,Mondraker,PRIME 29 | SRAM SX Eagle,new,Trail,1,,S,https://buycycle.com/de/bike/prime-29-6,3000 ,3699
282,buycycle,de,2021,CUBE,REACTION HYBRID SL 625 29 Trapeze | SRAM NX Eagle,new,Trail,1,,L,https://buycycle.com/de/bike/reaction-hybrid-sl-625-29-trapeze-11,2100 ,3449
283,buycycle,de,2017,Radon,ZR LADY 6.0 | Other,new,Crosscountry,1,,XS,https://buycycle.com/de/bike/zr-lady-60-663d39780982e8,490 ,699
284,buycycle,de,2022,YT Industries,Izzo Core 3 | SRAM GX,new,Trail,1,,L,https://buycycle.com/de/bike/izzo-core-3-263d393e431821,3100 ,4200
285,buycycle,de,2015,Bottecchia,Zoncolan | SRAM X01,Händler,Crosscountry,1,,XL,https://buycycle.com/de/bike/zoncolan-163dabfba253c0,1300 ,4000
286,buycycle,de,2021,Orbea,OIZ H30 | Shimano Deore,new,Trail,1,,M,https://buycycle.com/de/bike/oiz-h30-22,1800 ,2499
287,buycycle,de,2020,Superior,XP 999 | Shimano Deore XT,new,Crosscountry,1,,L,https://buycycle.com/de/bike/xp-999-1,2100 ,3999
288,buycycle,de,2022,Bianchi,e-Omnia X Type - SX Eagle 1x12 | SRAM SX Eagle,new,Trail,1,,M,https://buycycle.com/de/bike/e-omnia-x-type-sx-eagle-1x12-5,2690 ,4377
289,buycycle,de,2023,Orbea,Rallon MyO Rahmen | Other,new,Trail,1,,L,https://buycycle.com/de/bike/rallon-myo-rahmen-2023-l-neu,2900 ,4299
290,buycycle,de,2019,Cannondale,F-Si Carbon 3 | SRAM GX Eagle,new,Trail,1,,L,https://buycycle.com/de/bike/f-si-carbon-3-263d2d145ad931,2590 ,3675
291,buycycle,de,2021,Whistle,B-Rush A7.1 | Other SRAM,new,Trail,1,,48 cm,https://buycycle.com/de/bike/b-rush-a71,3700 ,4520
292,buycycle,de,2022,Cannondale,Scalpel HT Hi-MOD 1 | Shimano XTR,new,Trail,1,,L,https://buycycle.com/de/bike/scalpel-ht-hi-mod-1-11,4500 ,6999
293,buycycle,de,2021,Canyon,Spectral 29 CF 7 | SRAM NX Eagle,new,Enduro,1,,L,https://buycycle.com/de/bike/spectral-29-cf-7-5,2350 ,3399
294,buycycle,de,2022,CUBE,REACTION HYBRID EXC 750 29 Trapeze | SRAM NX Eagle,new,Trail,1,,XXL,https://buycycle.com/de/bike/reaction-hybrid-exc-750-29-trapeze-463d2b2d6cb3b9,3000 ,3499
295,buycycle,de,2019,Cannondale,Habit 4 | SRAM NX Eagle,new,Trail,1,,XL,https://buycycle.com/de/bike/habit-4-363d29ebdc1a29,2099 ,3150
296,buycycle,de,2022,KTM,MACINA RIDE 591 | Shimano Alivio,new,Crosscountry,1,,XL,https://buycycle.com/de/bike/macina-ride-591,2550 ,2699
297,buycycle,de,2020,Olympia,F1 | Shimano Deore XT,Händler,Crosscountry,1,,M,https://buycycle.com/de/bike/f1-463d2933e195f2,2400 ,2600
298,buycycle,de,2021,Olympia,F1 | Shimano XTR,Händler,Crosscountry,1,,S,https://buycycle.com/de/bike/f1-3,2800 ,3000
299,buycycle,de,2022,CUBE,REACTION HYBRID RACE 625 | Shimano Deore XT,Händler,Crosscountry,1,,L,https://buycycle.com/de/bike/reaction-hybrid-race-625-37,2999 ,3249
300,buycycle,de,2022,CUBE,ELITE C:62 ONE | SRAM GX Eagle,Händler,Crosscountry,1,,XL,https://buycycle.com/de/bike/elite-c62-one-6,2649 ,2799
301,buycycle,de,2021,Haibike,SEET 8 | Shimano Altus,new,Crosscountry,1,,L,https://buycycle.com/de/bike/seet-8-1,450 ,649
302,buycycle,de,2020,Merida,eONE-SIXTY 8000 | Shimano Deore XT,new,Enduro,1,,M,https://buycycle.com/de/bike/eone-sixty-8000-1,3199 ,5850
303,buycycle,de,2020,Scott,Genius 900 Ultimate | Shimano XTR,new,Enduro,1,,M,https://buycycle.com/de/bike/genius-900-ultimate-axs-263d2794c781fe,4800 ,8000
304,buycycle,de,2020,CUBE,REACTION HYBRID PRO 500 29 | SRAM SX Eagle,new,Crosscountry,1,,52 cm,https://buycycle.com/de/bike/reaction-hybrid-pro-500-29-2,1700 ,2459
305,buycycle,de,2022,Trek,Top Fuel 5 | Shimano Deore,Händler,Trail,1,,L,https://buycycle.com/de/bike/top-fuel-5-1,2699 ,2699
306,buycycle,de,2023,Orbea,OCCAM H20-EAGLE | SRAM GX Eagle,Händler,Trail,1,,S,https://buycycle.com/de/bike/occam-h20-eagle-6,2799 ,3499
307,buycycle,de,2021,Focus,JAM 6.9 | Shimano Deore XT,new,Enduro,1,,M,https://buycycle.com/de/bike/jam-69-27,1950 ,3199
308,buycycle,de,2019,Specialized,Epic Hardtail Expert | Shimano XTR,new,Crosscountry,1,,L,https://buycycle.com/de/bike/epic-hardtail-expert-15,2500 ,5300
309,buycycle,de,2021,Orbea,OIZ M20 TR | SRAM GX Eagle,new,Trail,1,,L,https://buycycle.com/de/bike/oiz-m20-tr-14,3050 ,4099
310,buycycle,de,2016,Scott,Genius LT 720 | Shimano Deore XT,new,Trail,1,,M,https://buycycle.com/de/bike/genius-lt-720,1350 ,3199
311,buycycle,de,2019,Specialized,S-Works Epic Hardtail Frameset - LTD | Other,new,Crosscountry,1,,M,https://buycycle.com/de/bike/s-works-epic-hardtail-frameset-ltd-3,1350 ,2950
