url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,candidate13,party13,votes13,candidate14,party14,votes14,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),24th Judicial District (Blair County),"CARPENTER, HIRAM A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,050","2,807",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),32nd Judicial District (Delaware County),"BURR, CHARLES B.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,185","13,062",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),38th Judicial District (Montgomery County),"BARRETT, STEPHEN",,,"MOORE, BERNARD A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"46,706","20,380","45,515","21,321",,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),39th Judicial District (Franklin & Fulton Counties),"VAN HORN, CAROL L.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,736","3,302",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),40th Judicial District (Indiana County),"OLSON, GREGORY A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,778","3,572",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),43rd Judicial District (Monroe County),"WORTHINGTON, MAGGIE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,892","3,143",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),45th Judicial District (Lackawanna County),"BARRASSE, MICHAEL J.",,,"NEALON, TERRENCE R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,603","9,237","32,047","7,355",,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),50th Judicial District (Butler County),"SHAFFER, WILLIAM R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,469","8,102",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),52nd Judicial District (Lebanon County),"CHARLES, BRADFORD H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,787","3,860",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),53rd Judicial District (Lawrence County),"COX, J. CRAIG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,887","2,842",,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=18&ElectionType=G&IsActive=0,2009 Municipal Election,Judge of the Court of Common Pleas (Retention),57th Judicial District (Bedford County),"LING, THOMAS S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,668","2,302",,,,,,,,,,,,,,,,
