url,election,office,position,candidate1,party1,votes1,candidate2,party2,votes2,candidate3,party3,votes3,candidate4,party4,votes4,candidate5,party5,votes5,candidate6,party6,votes6,votes_yes1,votes_no1,votes_yes2,votes_no2,votes_yes3,votes_no3,votes_yes4,votes_no4,votes_yes5,votes_no5,votes_yes6,votes_no6,candidate7,party7,votes7,candidate8,party8,votes8,candidate9,party9,votes9,candidate10,party10,votes10,candidate11,party11,votes11,candidate12,party12,votes12,votes_yes7,votes_no7,votes_yes8,votes_no8,votes_yes9,votes_no9,votes_yes10,votes_no10,votes_yes11,votes_no11,votes_yes12,votes_no12,candidate13,votes_yes13,votes_no13,party13,votes13,candidate14,party14,votes14,candidate15,party15,votes15,candidate16,party16,votes16,candidate17,party17,votes17,candidate18,party18,votes18
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),45th Judicial District (Lackawanna County),"GEROULO, VITO P",,,,,,,,,,,,,,,,,,"31,348","11,355",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),48th Judicial District (McKean County),"HAUSER, CHRISTOPHER G",,,,,,,,,,,,,,,,,,"5,298","1,475",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),49th Judicial District (Centre County),"GRINE, JONATHAN D",,,,,,,,,,,,,,,,,,"23,341","7,670",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),50th Judicial District (Butler County),"YEAGER, S MICHAEL",,,,,,,,,,,,,,,,,,"24,264","12,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),51st Judicial District (Adams County),"GEORGE, MICHAEL A",,,,,,,,,,,,,,,,,,"13,208","5,235",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),52nd Judicial District (Lebanon County),"TYLWALK, JOHN C",,,,,,,,,,,,,,,,,,"17,522","6,574",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),54th Judicial District (Jefferson County),"FORADORA, JOHN HENRY",,,,,,,,,,,,,,,,,,"7,177","2,426",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),56th Judicial District (Carbon County),"MATIKA, JOE",,,"NANOVIC, ROGER N",,,,,,,,,,,,,,,"9,548","2,910","9,891","2,856",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=14&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas (Retention),57th Judicial District (Bedford County),"LIVENGOOD, TRAVIS W",,,,,,,,,,,,,,,,,,"6,604","2,048",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=49&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas - Philadelphia,1st Judicial District (Philadelphia County),"KAMAU, NICK",(DEM),"153,790","BARISH, WENDI",(DEM),"154,312","MCCABE, CATERIA R",(DEM),"150,727","WAHL, BETSY",(DEM),"149,577","HALL, CHRIS",(DEM),"150,829","HANGLEY, MICHELE",(DEM),"151,677",,,,,,,,,,,,,"LEVIN, CRAIG",(DEM),"141,424","SULMAN, DANIEL R",(DEM),"142,625","GIBBS, MONICA G",(DEM),"139,573","LITWIN, LEANNE L",(DEM),"127,834","MOORE, MARK J",(DEM),"142,964","SABATINA, JOHN P JR",(DEM),"132,348",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.electionreturns.pa.gov/_ENR/General/OfficeResults?OfficeID=49&ElectionID=84&ElectionType=G&IsActive=0,2021 Municipal Election,Judge of the Court of Common Pleas - Philadelphia (Retention),1st Judicial District (Philadelphia County),"ANHALT, DIANA",,,"COHEN, DENIS P",,,"DEFINO-NASTASI, ROSE MARIE",,,"EHRLICH, CHARLES",,,"FOGLIETTA, ANGELO",,,"IRVINE, JONATHAN Q",,,"114,301","30,947","105,058","36,140","111,762","32,548","104,000","35,406","107,258","34,730","102,442","34,296","JACKSON, ELIZABETH",,,"JOHNSON, VINCENT L",,,"KENNEDY, SEAN F",,,"MCDERMOTT, BARBARA A",,,"MURPHY, MARGARET T",,,"OVERTON, GEORGE W",,,"110,627","30,659","105,760","32,541","106,204","32,097","111,456","30,258","110,915","30,885","103,336","34,176","WRIGHT, EDWARD C","104,614","32,489",,,,,,,,,,,,,,,,,
